m1_prod_P1;m1_prod_P2;m1_prod_P3;m1_prod_P4;m2_prod_P1;m2_prod_P2;m2_prod_P3;m2_prod_P4;m3_prod_P1;m3_prod_P2;m3_prod_P3;m3_prod_P4;m1_stock_P1;m1_stock_P2;m1_stock_P3;m1_stock_P4;m2_stock_P1;m2_stock_P2;m2_stock_P3;m2_stock_P4;m3_stock_P1;m3_stock_P2;m3_stock_P3;m3_stock_P4;asAvgProfit;avgProfit;asMaxRisk;maxRisk;objective
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;0;2.813749233609997e-012;0
19;0;2;19;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;0;50;50;50;50;608;247.779;0;87.6119;-0.01843675346856585
28;0;3;28;0;0;0;0;0;33;0;33;0;0;0;0;0;0;0;0;50;50;50;50;1416;698.5;0;174.351;-0.0367100456359787
38;0;4;38;0;0;0;0;0;54;0;54;0;0;0;0;0;0;0;0;50;50;50;50;2224;1149.61;0;261.267;-0.05498011896510571
43;0;6;43;0;0;0;0;0;79;1;79;0;0;0;0;0;0;0;0;50;50;50;50;3032;1599.28;0;348.179;-0.07330361233644177
53;0;6;53;0;0;1;0;0;100;1;100;0;0;0;0;0;0;0;0;50;50;50;50;3840;2050.39;0;435.096;-0.09156338630944205
62;0;9;62;0;0;0;0;0;122;0;122;0;0;0;0;0;0;0;0;50;50;50;50;4648;2501.11;0;521.834;-0.1098431095479457
69;0;11;69;0;0;1;0;0;145;0;145;0;0;0;0;0;0;0;0;50;50;50;50;5456;2951.56;0;609.102;-0.1281773978901239
80;0;11;80;0;0;1;0;0;165;1;165;0;0;0;0;0;0;0;0;50;50;50;50;6264;3403.06;0;696.196;-0.1465051229392325
90;0;14;90;0;0;0;0;0;186;0;186;0;0;0;0;0;0;0;0;50;50;50;50;7072;3854.17;0;783.112;-0.1647954864544487
100;0;15;100;0;0;0;0;0;207;0;207;0;0;0;0;0;0;0;0;50;50;50;50;7880;4305.28;0;870.029;-0.1830858499696648
115;0;16;115;0;0;0;0;0;222;1;222;0;0;0;0;0;0;0;0;50;50;50;50;8688;4751.5;0;956.93;-0.2014064958573877
125;0;18;125;0;0;0;0;0;243;0;243;0;0;0;0;0;0;0;0;50;50;50;50;9496;5202.61;0;1043.85;-0.219666269830388
134;0;19;134;0;0;0;0;0;265;0;265;0;0;0;0;0;0;0;0;50;50;50;50;10304;5653.33;0;1130.59;-0.2379459930688913
140;0;22;140;0;0;0;0;0;289;0;289;0;0;0;0;0;0;0;0;50;50;50;50;11112;6103.39;0;1217.68;-0.2562598365308508
150;0;21;150;0;0;0;0;0;310;2;310;0;0;0;0;0;0;0;0;50;50;50;50;11920;6554.5;0;1304.59;-0.274533843028656
160;0;24;160;0;0;0;0;0;331;0;331;0;0;0;0;0;0;0;0;50;50;50;50;12728;7005.61;0;1391.51;-0.2928242065438722
170;0;25;170;0;0;0;0;0;352;0;352;0;0;0;0;0;0;0;0;50;50;50;50;13536;7456.73;0;1478.75;-0.3111837686433193
187;0;27;187;0;0;0;0;0;365;0;365;0;0;0;0;0;0;0;0;50;50;50;50;14344;7903.72;0;1565.68;-0.3295093793783332
196;0;28;196;0;0;0;0;0;387;0;387;0;0;0;0;0;0;0;0;50;50;50;50;15152;8354.45;0;1652.42;-0.3477891026168369
216;0;29;216;0;0;0;0;0;397;1;397;0;0;0;0;0;0;0;0;50;50;50;50;15960;8802.61;0;1740.21;-0.3662037174436513
251;0;29;251;0;0;0;0;0;393;0;393;0;0;0;0;0;0;0;0;50;50;50;50;16768;9248.78;0;1827.99;-0.3847121568583429
277;0;29;277;0;0;0;0;0;398;0;398;0;0;0;0;0;0;0;0;50;50;50;50;17576;9698.79;0;1916.02;-0.4032004187589286
300;0;32;300;0;0;0;0;0;400;7;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;10135.9;0;2005.13;-0.4220020882146571
300;0;93;300;0;0;0;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;10540;0;2103.39;-0.4426703551744834
300;0;0;300;0;0;2;0;0;400;147;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;10944;0;2201.64;-0.4633386221343102
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;320;2.813749233609997e-012;3.366649132035771e-010
41;0;24;41;0;0;0;0;0;28;0;28;0;0;0;0;0;0;0;0;50;50;50;50;608;971.353;320;235.686;1.774285749723168e-006
69;0;0;69;0;0;0;0;0;42;2;42;0;0;0;0;0;0;0;0;50;50;50;50;1416;1416.6;320;318.566;3.093653996416157e-009
47;0;7;47;0;0;0;0;0;95;0;95;0;0;0;0;0;0;0;0;50;50;50;50;2224;1884.62;320;402.667;-0.01739608493701076
65;0;9;65;0;0;0;0;0;107;0;107;0;0;0;0;0;0;0;0;50;50;50;50;3032;2332.01;320;490.101;-0.03581416301893101
75;0;0;75;0;0;0;0;0;128;10;128;0;0;0;0;0;0;0;0;50;50;50;50;3840;2783.12;320;577.017;-0.05408584038690029
84;0;11;84;0;0;0;0;0;150;0;150;0;0;0;0;0;0;0;0;50;50;50;50;4648;3233.84;320;663.756;-0.07235366023043487
90;0;4;90;0;0;3;0;0;174;7;174;0;0;0;0;0;0;0;0;50;50;50;50;5456;3683.9;320;750.846;-0.09066750369239451
99;0;0;99;0;0;15;0;0;196;0;196;0;0;0;0;0;0;0;0;50;50;50;50;6264;4134.62;320;837.585;-0.1089472269308981
109;0;16;109;0;0;0;0;0;217;0;217;0;0;0;0;0;0;0;0;50;50;50;50;7072;4585.73;320;924.501;-0.127209164579003
119;0;16;119;0;0;0;0;0;238;1;238;0;0;0;0;0;0;0;0;50;50;50;50;7880;5036.85;320;1011.43;-0.1455023733212724
126;0;19;126;0;0;1;0;0;261;0;261;0;0;0;0;0;0;0;0;50;50;50;50;8688;5487.29;320;1098.69;-0.1638638463423508
136;0;21;136;0;0;0;0;0;282;0;282;0;0;0;0;0;0;0;0;50;50;50;50;9496;5938.4;320;1185.6;-0.182154209857567
146;0;22;146;0;0;0;0;0;303;0;303;0;0;0;0;0;0;0;0;50;50;50;50;10304;6389.51;320;1272.52;-0.2004445733727831
161;0;24;161;0;0;0;0;0;318;0;318;0;0;0;0;0;0;0;0;50;50;50;50;11112;6835.73;320;1359.42;-0.2187903364788434
